Case No,Member Percentage,Insert Percentage,Delete Percentage,Mean Value,Standard Deviation,Method,No. of Threads,Tested Rounds, Required Rounds
0, 0.990000, 0.005000, 0.005000, 20.595000, 2.381381,Serial, 1, 400, 21
0, 0.990000, 0.005000, 0.005000, 19.482500, 2.276992,Parallel One Mutex, 1, 400, 21
0, 0.990000, 0.005000, 0.005000, 24.032500, 2.641296,Parallel One Mutex, 2, 400, 19
0, 0.990000, 0.005000, 0.005000, 24.360000, 2.861887,Parallel One Mutex, 4, 400, 22
0, 0.990000, 0.005000, 0.005000, 24.852500, 2.567244,Parallel One Mutex, 8, 400, 17
0, 0.990000, 0.005000, 0.005000, 19.432500, 2.377066,Parallel RWLock, 1, 400, 23
0, 0.990000, 0.005000, 0.005000, 14.152500, 1.455762,Parallel RWLock, 2, 400, 17
0, 0.990000, 0.005000, 0.005000, 12.012500, 1.556388,Parallel RWLock, 4, 400, 26
0, 0.990000, 0.005000, 0.005000, 12.545000, 1.569387,Parallel RWLock, 8, 400, 25
1, 0.900000, 0.050000, 0.050000, 26.185000, 2.953942,Serial, 1, 400, 20
1, 0.900000, 0.050000, 0.050000, 22.735000, 2.594181,Parallel One Mutex, 1, 400, 21
1, 0.900000, 0.050000, 0.050000, 26.922500, 3.067816,Parallel One Mutex, 2, 400, 20
1, 0.900000, 0.050000, 0.050000, 26.282500, 2.835964,Parallel One Mutex, 4, 400, 18
1, 0.900000, 0.050000, 0.050000, 23.110000, 2.846559,Parallel One Mutex, 8, 400, 24
1, 0.900000, 0.050000, 0.050000, 23.037500, 2.929350,Parallel RWLock, 1, 400, 25
1, 0.900000, 0.050000, 0.050000, 28.210000, 2.102594,Parallel RWLock, 2, 400, 9
1, 0.900000, 0.050000, 0.050000, 27.925000, 2.468679,Parallel RWLock, 4, 400, 13
1, 0.900000, 0.050000, 0.050000, 26.980000, 2.387384,Parallel RWLock, 8, 400, 13
2, 0.500000, 0.250000, 0.250000, 52.945000, 4.232845,Serial, 1, 400, 10
2, 0.500000, 0.250000, 0.250000, 39.137500, 4.000449,Parallel One Mutex, 1, 400, 17
2, 0.500000, 0.250000, 0.250000, 36.955000, 3.787872,Parallel One Mutex, 2, 400, 17
2, 0.500000, 0.250000, 0.250000, 28.615000, 2.983584,Parallel One Mutex, 4, 400, 17
2, 0.500000, 0.250000, 0.250000, 18.837500, 2.167047,Parallel One Mutex, 8, 400, 21
2, 0.500000, 0.250000, 0.250000, 40.837500, 4.315217,Parallel RWLock, 1, 400, 18
2, 0.500000, 0.250000, 0.250000, 53.245000, 3.497853,Parallel RWLock, 2, 400, 7
2, 0.500000, 0.250000, 0.250000, 34.947500, 3.032284,Parallel RWLock, 4, 400, 12
2, 0.500000, 0.250000, 0.250000, 28.822500, 2.617440,Parallel RWLock, 8, 400, 13
